date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:46:44	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Sep%202015%2013:39:20%20GMT	http://www.tutorialesya.com.ar/robots.txt		(from )
07:46:44	15746/15746	U-----	200	untouched ('OK')	text/html	etag:%223d82-51e21aa9dd131-gzip-gunzip-gzip%22	http://www.tutorialesya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/index.html	(from )
07:46:45	396/396	U-----	200	untouched ('OK')	text/css	etag:%2218c-5111df709b9c5-gzip-gunzip-gzip%22	http://www.tutorialesya.com.ar/css/estilos.css	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/css/estilos.css	(from http://www.tutorialesya.com.ar/)
07:46:45	109518/109518	U-----	200	untouched ('OK')	text/css	etag:%221abce-5111df6ffc278-gzip-gunzip-gzip%22	http://www.tutorialesya.com.ar/css/bootstrap.min.css	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/css/bootstrap.min.css	(from http://www.tutorialesya.com.ar/)
07:46:45	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Sep%202015%2013:46:46%20GMT	http://www.javaya.com.ar/androidya	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/androidya.0.delayed	(from http://www.tutorialesya.com.ar/)
07:46:45	15746/15746	U-----	200	untouched ('OK')	text/html	etag:%223d82-51e21aa9dd131-gzip-gunzip-gzip%22	http://www.tutorialesya.com.ar/index.html	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/index-2.html	(from http://www.tutorialesya.com.ar/)
07:46:46	4553/4553	U-----	200	untouched ('OK')	text/html	etag:%2211c9-518817a439057-gzip-gunzip-gzip%22	http://www.tutorialesya.com.ar/acercade.html	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/acercade.html	(from http://www.tutorialesya.com.ar/)
07:46:46	206/206	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2015%20Sep%202015%2013:39:22%20GMT	http://www.tutorialesya.com.ar/cmasmasya	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/cmasmasya	(from http://www.tutorialesya.com.ar/)
07:46:47	7170/7170	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:47%20GMT	http://www.javaya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:47	7366/7366	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:47:23%20GMT	http://www.csharpya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.csharpya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:48	15756/15756	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:39:23%20GMT	http://www.htmlya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.htmlya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:48	13017/13017	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:39:23%20GMT	http://www.cssya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.cssya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:48	8179/8179	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:47:24%20GMT	http://www.phpya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.phpya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:49	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Sep%202015%2013:46:50%20GMT	http://www.javaya.com.ar/robots.txt		(from http://www.tutorialesya.com.ar/)
07:46:49	12409/12409	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2011:44:24%20GMT	http://www.javascriptya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javascriptya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:50	18072/18072	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:47:26%20GMT	http://www.sqlserverya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.sqlserverya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:50	17194/17194	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:39:26%20GMT	http://www.oracleya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.oracleya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:50	15555/15555	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:47:26%20GMT	http://www.mysqlya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.mysqlya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:50	17526/17526	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2011:44:26%20GMT	http://www.postgresqlya.com.ar/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.postgresqlya.com.ar/index.html	(from http://www.tutorialesya.com.ar/)
07:46:50	7318/7318	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:52%20GMT	http://www.javaya.com.ar/androidya/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/androidya/index.html	(from http://www.tutorialesya.com.ar/)
07:46:50	25252/25252	U-----	200	untouched ('')	text/javascript	date:Thu,%2006%20Aug%202015%2018:26:56%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Tutoriales%20Ya/www.google-analytics.com/analytics.js	(from http://www.tutorialesya.com.ar/)
07:46:51	3360/3360	---MCZ	200	added ('OK')	text/css	etag:W/%22549c8432-d20%22	http://www.javaya.com.ar/css/estilos.css	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/css/estilos.css	(from http://www.javaya.com.ar/)
07:46:51	20335/20335	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%224f6f-5111df695b614%22	http://www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.tutorialesya.com.ar/css/bootstrap.min.css)
07:46:51	20335/20335	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%224f6f-5111df695b614%22	http://www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.eot	(from http://www.tutorialesya.com.ar/css/bootstrap.min.css)
07:46:51	35234/35234	U--MC-	200	updated ('OK')	text/javascript	date:Tue,%2015%20Sep%202015%2013:29:23%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Tutoriales%20Ya/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.tutorialesya.com.ar/)
07:46:52	41280/41280	U-----	200	untouched ('')	application/x-font-ttf	etag:%22a140-5111df6a2ca9a%22	http://www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.ttf	(from http://www.tutorialesya.com.ar/css/bootstrap.min.css)
07:46:52	23320/23320	U-----	200	untouched ('')	application/x-font-woff	etag:%225b18-5111df6a986a9%22	http://www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.woff	(from http://www.tutorialesya.com.ar/css/bootstrap.min.css)
07:46:52	62927/62927	U-----	200	untouched ('OK')	image/svg+xml	etag:%22f5cf-5111df6a39b43%22	http://www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/fonts/glyphicons-halflings-regular.svg	(from http://www.tutorialesya.com.ar/css/bootstrap.min.css)
07:46:52	2416/2416	---M--	200	added ('OK')	application/javascript	etag:%22506d8ce6-970%22	http://www.javaya.com.ar/principal.js	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/principal.js	(from http://www.javaya.com.ar/)
07:46:53	6727/6727	---MCZ	200	added ('OK')	text/html	etag:W/%22506d8cdc-1a47%22	http://www.javaya.com.ar/politicas.htm	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/politicas.html	(from http://www.javaya.com.ar/)
07:46:53	8390/8390	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:39:29%20GMT	http://www.tutorialesya.com.ar/cmasmasya/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.tutorialesya.com.ar/cmasmasya/index.html	(from http://www.javaya.com.ar/)
07:46:54	8315/8315	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2011:44:29%20GMT	http://www.javascriptya.com.ar/nodejsya/	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javascriptya.com.ar/nodejsya/index.html	(from http://www.javaya.com.ar/)
07:46:54	5556/5556	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:55%20GMT	http://www.javaya.com.ar/detalleconcepto.php?codigo=74&inicio=0	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/detalleconceptode58.html	(from http://www.javaya.com.ar/)
07:46:55	6129/6129	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:56%20GMT	http://www.javaya.com.ar/detalleconcepto.php?codigo=75&inicio=0	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/detalleconceptob6fd.html	(from http://www.javaya.com.ar/)
07:46:55	7489/7489	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:57%20GMT	http://www.javaya.com.ar/detalleconcepto.php?codigo=76&inicio=0	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/detalleconceptoca7e.html	(from http://www.javaya.com.ar/)
07:46:55	39286/39286	---MC-	200	added ('OK')	application/javascript	date:Tue,%2015%20Sep%202015%2013:46:54%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/Tutoriales%20Ya/apis.google.com/js/plusone.js	(from http://www.javaya.com.ar/)
07:46:56	18761/18761	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:57%20GMT	http://www.javaya.com.ar/detalleconcepto.php?codigo=77&inicio=0	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/detalleconcepto357f.html	(from http://www.javaya.com.ar/)
07:46:56	7102/7102	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:57%20GMT	http://www.javaya.com.ar/detalleconcepto.php?codigo=78&inicio=0	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/detalleconcepto0ea2.html	(from http://www.javaya.com.ar/)
07:46:56	9379/9379	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202015%2013:46:58%20GMT	http://www.javaya.com.ar/detalleconcepto.php?codigo=79&inicio=0	C:/My%20Web%20Sites/Tutoriales%20Ya/www.javaya.com.ar/detalleconcepto78a4.html	(from http://www.javaya.com.ar/)
